item_id,stat_id,operation,value,applies_to,condition_id,description
item_fire_common_04,dark_power,add,1,player,,어둠 속성 계수 +1
item_fire_common_08,dark_power,add,1,player,,어둠 속성 계수 +1
item_fire_rare_02,fire_power,add,1,player,,불 속성 계수 +1
item_fire_rare_04,dark_power,add,1,player,,어둠 속성 계수 +1
item_fire_rare_06,fire_power,add,1,player,,불 속성 계수 +1
item_fire_rare_08,dark_power,add,1,player,,어둠 속성 계수 +1
item_fire_epic_01,fire_power,add,2,player,,불 속성 계수 +2
item_fire_epic_02,fire_power,add,2,player,,불 속성 계수 +2
item_fire_epic_04,dark_power,add,2,player,,어둠 속성 계수 +2
item_fire_epic_05,fire_power,add,2,player,,불 속성 계수 +2
item_fire_legendary_01,fire_power,add,3,player,,불 속성 계수 +3
item_fire_legendary_02,fire_power,add,2,player,,불 속성 계수 +2
item_water_common_04,nature_power,add,1,player,,풀 속성 계수 +1
item_water_common_08,nature_power,add,1,player,,풀 속성 계수 +1
item_water_rare_02,water_power,add,1,player,,물 속성 계수 +1
item_water_rare_04,nature_power,add,1,player,,풀 속성 계수 +1
item_water_rare_06,water_power,add,1,player,,물 속성 계수 +1
item_water_rare_08,nature_power,add,1,player,,풀 속성 계수 +1
item_water_epic_01,water_power,add,2,player,,물 속성 계수 +2
item_water_epic_02,water_power,add,2,player,,물 속성 계수 +2
item_water_epic_04,nature_power,add,2,player,,풀 속성 계수 +2
item_water_epic_05,water_power,add,2,player,,물 속성 계수 +2
item_water_legendary_01,water_power,add,3,player,,물 속성 계수 +3
item_water_legendary_02,water_power,add,2,player,,물 속성 계수 +2
item_nature_common_04,lightning_power,add,1,player,,번개 속성 계수 +1
item_nature_common_08,lightning_power,add,1,player,,번개 속성 계수 +1
item_nature_rare_02,nature_power,add,1,player,,풀 속성 계수 +1
item_nature_rare_04,lightning_power,add,1,player,,번개 속성 계수 +1
item_nature_rare_06,nature_power,add,1,player,,풀 속성 계수 +1
item_nature_rare_08,lightning_power,add,1,player,,번개 속성 계수 +1
item_nature_epic_01,nature_power,add,2,player,,풀 속성 계수 +2
item_nature_epic_02,nature_power,add,2,player,,풀 속성 계수 +2
item_nature_epic_04,lightning_power,add,2,player,,번개 속성 계수 +2
item_nature_epic_05,nature_power,add,2,player,,풀 속성 계수 +2
item_nature_legendary_01,nature_power,add,3,player,,풀 속성 계수 +3
item_nature_legendary_02,nature_power,add,2,player,,풀 속성 계수 +2
item_earth_common_04,nature_power,add,1,player,,풀 속성 계수 +1
item_earth_common_08,nature_power,add,1,player,,풀 속성 계수 +1
item_earth_rare_02,earth_power,add,1,player,,땅 속성 계수 +1
item_earth_rare_04,nature_power,add,1,player,,풀 속성 계수 +1
item_earth_rare_06,earth_power,add,1,player,,땅 속성 계수 +1
item_earth_rare_08,nature_power,add,1,player,,풀 속성 계수 +1
item_earth_epic_01,earth_power,add,2,player,,땅 속성 계수 +2
item_earth_epic_02,earth_power,add,2,player,,땅 속성 계수 +2
item_earth_epic_04,nature_power,add,2,player,,풀 속성 계수 +2
item_earth_epic_05,earth_power,add,2,player,,땅 속성 계수 +2
item_earth_legendary_01,earth_power,add,3,player,,땅 속성 계수 +3
item_earth_legendary_02,earth_power,add,2,player,,땅 속성 계수 +2
item_lightning_common_04,dark_power,add,1,player,,어둠 속성 계수 +1
item_lightning_common_08,dark_power,add,1,player,,어둠 속성 계수 +1
item_lightning_rare_02,lightning_power,add,1,player,,번개 속성 계수 +1
item_lightning_rare_04,dark_power,add,1,player,,어둠 속성 계수 +1
item_lightning_rare_06,lightning_power,add,1,player,,번개 속성 계수 +1
item_lightning_rare_08,dark_power,add,1,player,,어둠 속성 계수 +1
item_lightning_epic_01,lightning_power,add,2,player,,번개 속성 계수 +2
item_lightning_epic_02,lightning_power,add,2,player,,번개 속성 계수 +2
item_lightning_epic_04,dark_power,add,2,player,,어둠 속성 계수 +2
item_lightning_epic_05,lightning_power,add,2,player,,번개 속성 계수 +2
item_lightning_legendary_01,lightning_power,add,3,player,,번개 속성 계수 +3
item_lightning_legendary_02,lightning_power,add,2,player,,번개 속성 계수 +2
item_poison_common_04,nature_power,add,1,player,,풀 속성 계수 +1
item_poison_common_08,nature_power,add,1,player,,풀 속성 계수 +1
item_poison_rare_02,poison_power,add,1,player,,독 속성 계수 +1
item_poison_rare_04,nature_power,add,1,player,,풀 속성 계수 +1
item_poison_rare_06,poison_power,add,1,player,,독 속성 계수 +1
item_poison_rare_08,nature_power,add,1,player,,풀 속성 계수 +1
item_poison_epic_01,poison_power,add,2,player,,독 속성 계수 +2
item_poison_epic_02,poison_power,add,2,player,,독 속성 계수 +2
item_poison_epic_04,nature_power,add,2,player,,풀 속성 계수 +2
item_poison_epic_05,poison_power,add,2,player,,독 속성 계수 +2
item_poison_legendary_01,poison_power,add,3,player,,독 속성 계수 +3
item_poison_legendary_02,poison_power,add,2,player,,독 속성 계수 +2
item_dark_common_04,fire_power,add,1,player,,불 속성 계수 +1
item_dark_common_08,fire_power,add,1,player,,불 속성 계수 +1
item_dark_rare_02,dark_power,add,1,player,,어둠 속성 계수 +1
item_dark_rare_04,fire_power,add,1,player,,불 속성 계수 +1
item_dark_rare_06,dark_power,add,1,player,,어둠 속성 계수 +1
item_dark_rare_08,fire_power,add,1,player,,불 속성 계수 +1
item_dark_epic_01,dark_power,add,2,player,,어둠 속성 계수 +2
item_dark_epic_02,dark_power,add,2,player,,어둠 속성 계수 +2
item_dark_epic_04,fire_power,add,2,player,,불 속성 계수 +2
item_dark_epic_05,dark_power,add,2,player,,어둠 속성 계수 +2
item_dark_legendary_01,dark_power,add,3,player,,어둠 속성 계수 +3
item_dark_legendary_02,dark_power,add,2,player,,어둠 속성 계수 +2
item_neutral_common_04,water_power,add,1,player,,물 속성 계수 +1
item_neutral_common_08,neutral_power,add,1,player,,무 속성 계수 +1
item_neutral_rare_02,neutral_power,add,1,player,,무 속성 계수 +1
item_neutral_rare_04,water_power,add,1,player,,물 속성 계수 +1
item_neutral_rare_06,poison_power,add,1,player,,독 속성 계수 +1
item_neutral_rare_08,neutral_power,add,1,player,,무 속성 계수 +1
item_neutral_epic_01,neutral_power,add,2,player,,무 속성 계수 +2
item_neutral_epic_02,neutral_power,add,2,player,,무 속성 계수 +2
item_neutral_epic_04,water_power,add,2,player,,물 속성 계수 +2
item_neutral_epic_05,lightning_power,add,2,player,,번개 속성 계수 +2
item_neutral_legendary_01,neutral_power,add,3,player,,무 속성 계수 +3
item_neutral_legendary_02,neutral_power,add,2,player,,무 속성 계수 +2
item_curse_common_04,curse_power,add,1,player,,저주 속성 계수 +1
item_curse_common_08,curse_power,add,1,player,,저주 속성 계수 +1
item_curse_rare_02,curse_power,add,1,player,,저주 속성 계수 +1
item_curse_rare_04,curse_power,add,1,player,,저주 속성 계수 +1
item_curse_rare_06,dark_power,add,1,player,,어둠 속성 계수 +1
item_curse_rare_08,curse_power,add,1,player,,저주 속성 계수 +1
item_curse_epic_01,curse_power,add,2,player,,저주 속성 계수 +2
item_curse_epic_02,curse_power,add,2,player,,저주 속성 계수 +2
item_curse_epic_04,curse_power,add,2,player,,저주 속성 계수 +2
item_curse_epic_05,curse_power,add,2,player,,저주 속성 계수 +2
item_curse_legendary_01,curse_power,add,3,player,,저주 속성 계수 +3
item_curse_legendary_02,curse_power,add,2,player,,저주 속성 계수 +2
