item_id,stat_id,operation,value,applies_to,condition_id,description
item_fire_common_01,crit_chance_percent,add,1,player,,불: 치명타 확률 증가
item_fire_common_02,crit_damage_percent,add,4,player,,불: 치명타 피해 증가
item_fire_common_03,basic_attack_damage_percent,add,3,player,,불: 기본 공격 피해 증가
item_fire_common_04,proc_chance_percent,add,4,player,,불: 폭발 발동 확률 증가
item_fire_common_05,crit_chance_percent,add,1,player,,불: 치명타 확률 증가
item_fire_common_06,crit_damage_percent,add,4,player,,불: 치명타 피해 증가
item_fire_common_07,basic_attack_damage_percent,add,3,player,,불: 기본 공격 피해 증가
item_fire_common_08,proc_chance_percent,add,4,player,,불: 폭발 발동 확률 증가
item_fire_common_09,crit_chance_percent,add,1,player,,불: 치명타 확률 증가
item_fire_common_10,crit_damage_percent,add,4,player,,불: 치명타 피해 증가
item_fire_rare_01,crit_damage_percent,add,8,player,,불: 치명타 피해 증가
item_fire_rare_02,basic_attack_damage_percent,add,7,player,,불: 기본 공격 피해 증가
item_fire_rare_03,proc_chance_percent,add,8,player,,불: 폭발 발동 확률 증가
item_fire_rare_04,crit_chance_percent,add,9,player,,불: 치명타 확률 증가
item_fire_rare_05,crit_damage_percent,add,12,player,,불: 치명타 피해 증가
item_fire_rare_06,basic_attack_damage_percent,add,6,player,,불: 기본 공격 피해 증가
item_fire_rare_07,proc_chance_percent,add,7,player,,불: 폭발 발동 확률 증가
item_fire_rare_08,crit_chance_percent,add,8,player,,불: 치명타 확률 증가
item_fire_epic_01,crit_chance_percent,add,10,player,,불: 치명타 확률 증가
item_fire_epic_01,crit_damage_percent,add,15,player,while_low_hp,불: 체력 50% 이하일 때 치명타 피해 증가
item_fire_epic_02,crit_chance_percent,add,11,player,,불: 치명타 확률 증가
item_fire_epic_02,crit_damage_percent,add,16,player,,불: 치명타 피해 증가
item_fire_epic_03,crit_chance_percent,add,12,player,,불: 치명타 확률 증가
item_fire_epic_03,crit_damage_percent,add,17,player,,불: 치명타 피해 증가
item_fire_epic_04,crit_chance_percent,add,13,player,,불: 치명타 확률 증가
item_fire_epic_04,crit_damage_percent,add,18,player,,불: 치명타 피해 증가
item_fire_epic_05,crit_chance_percent,add,14,player,,불: 치명타 확률 증가
item_fire_epic_05,crit_damage_percent,add,19,player,,불: 치명타 피해 증가
item_fire_legendary_01,crit_chance_percent,add,16,player,,불: 치명타 확률 증가
item_fire_legendary_01,crit_damage_percent,add,23,player,,불: 치명타 피해 증가
item_fire_legendary_01,final_damage_percent,add,8,player,while_low_hp,불: 체력 50% 이하일 때 최종 피해 증가
item_fire_legendary_02,crit_chance_percent,add,17,player,,불: 치명타 확률 증가
item_fire_legendary_02,crit_damage_percent,add,24,player,,불: 치명타 피해 증가
item_fire_legendary_02,final_damage_percent,add,9,player,,불: 최종 피해 증가
item_water_common_01,max_hp,add,2,player,,물: 최대 체력 증가
item_water_common_02,cooldown_reduction_percent,add,2,player,,물: 쿨타임 감소
item_water_common_03,shield,add,6,player,,물: 보호막 증가
item_water_common_04,max_hp,add,8,player,,물: 최대 체력 증가
item_water_common_05,cooldown_reduction_percent,add,1,player,,물: 쿨타임 감소
item_water_common_06,shield,add,4,player,,물: 보호막 증가
