condition_id,condition_type,param_id,value,description
while_low_hp,hp_percent_below,threshold_percent,50,체력이 50% 이하일 때
while_very_low_hp,hp_percent_below,threshold_percent,30,체력이 30% 이하일 때
while_has_shield,has_shield,,,보호막을 보유 중일 때
while_no_shield,no_shield,,,보호막이 없을 때
against_burning_enemy,target_has_status,status_id,burn,화상 상태인 적에게
against_poisoned_enemy,target_has_status,status_id,poison,중독 상태인 적에게
against_chilled_enemy,target_has_status,status_id,chill,냉각 상태인 적에게
while_moving,is_moving,,,플레이어가 이동 중일 때
while_standing_still,is_standing_still,duration,2,2초 이상 제자리에 있을 때
after_dash,recent_action,action_id,dash,최근 대시 후 짧은 시간 동안
in_battle_time_over,battle_time_over,seconds,10,전투 시작 후 10초가 지났을 때
