item_id,display_name,rarity,icon_path,is_cursed,is_unique,drop_pool,unlock_id,notes
item_fire_common_01,불 일반 01,common,Icons/Items/fire_common_01,FALSE,FALSE,default,,
item_fire_common_02,불 일반 02,common,Icons/Items/fire_common_02,FALSE,FALSE,default,,
item_fire_common_03,불 일반 03,common,Icons/Items/fire_common_03,FALSE,FALSE,default,,
item_fire_common_04,불 일반 04,common,Icons/Items/fire_common_04,FALSE,FALSE,default,,
item_fire_common_05,불 일반 05,common,Icons/Items/fire_common_05,FALSE,FALSE,default,,
item_fire_common_06,불 일반 06,common,Icons/Items/fire_common_06,FALSE,FALSE,default,,
item_fire_common_07,불 일반 07,common,Icons/Items/fire_common_07,FALSE,FALSE,default,,
item_fire_common_08,불 일반 08,common,Icons/Items/fire_common_08,FALSE,FALSE,default,,
item_fire_common_09,불 일반 09,common,Icons/Items/fire_common_09,FALSE,FALSE,default,,
item_fire_common_10,불 일반 10,common,Icons/Items/fire_common_10,FALSE,FALSE,default,,
item_fire_rare_01,불 희귀 01,rare,Icons/Items/fire_rare_01,FALSE,FALSE,default,,
item_fire_rare_02,불 희귀 02,rare,Icons/Items/fire_rare_02,FALSE,FALSE,default,,
item_fire_rare_03,불 희귀 03,rare,Icons/Items/fire_rare_03,FALSE,FALSE,default,,
item_fire_rare_04,불 희귀 04,rare,Icons/Items/fire_rare_04,FALSE,FALSE,default,,
item_fire_rare_05,불 희귀 05,rare,Icons/Items/fire_rare_05,FALSE,FALSE,default,,
item_fire_rare_06,불 희귀 06,rare,Icons/Items/fire_rare_06,FALSE,FALSE,default,,
item_fire_rare_07,불 희귀 07,rare,Icons/Items/fire_rare_07,FALSE,FALSE,default,,
item_fire_rare_08,불 희귀 08,rare,Icons/Items/fire_rare_08,FALSE,FALSE,default,,
item_fire_epic_01,불 영웅 01,epic,Icons/Items/fire_epic_01,FALSE,FALSE,default,,
item_fire_epic_02,불 영웅 02,epic,Icons/Items/fire_epic_02,FALSE,FALSE,default,,
item_fire_epic_03,불 영웅 03,epic,Icons/Items/fire_epic_03,FALSE,FALSE,default,,
item_fire_epic_04,불 영웅 04,epic,Icons/Items/fire_epic_04,FALSE,FALSE,default,,
item_fire_epic_05,불 영웅 05,epic,Icons/Items/fire_epic_05,FALSE,FALSE,default,,
item_fire_legendary_01,불 전설 01,legendary,Icons/Items/fire_legendary_01,FALSE,FALSE,default,,
item_fire_legendary_02,불 전설 02,legendary,Icons/Items/fire_legendary_02,FALSE,FALSE,default,,
