item_id,element_id,element_value,notes
item_fire_common_01,fire,1,
item_fire_common_02,fire,1,
item_fire_common_03,fire,1,
item_fire_common_04,fire,1,
item_fire_common_05,fire,1,
item_fire_common_06,fire,1,
item_fire_common_07,fire,1,
item_fire_common_08,fire,1,
item_fire_common_09,fire,1,
item_fire_common_10,fire,1,
item_fire_rare_01,fire,2,
item_fire_rare_02,fire,1,
item_fire_rare_03,fire,1,
item_fire_rare_04,fire,2,
item_fire_rare_05,fire,1,
item_fire_rare_06,fire,1,
item_fire_rare_07,fire,2,
item_fire_rare_08,fire,1,
item_fire_epic_01,fire,2,
item_fire_epic_02,fire,2,
item_fire_epic_03,fire,1,
item_fire_epic_03,poison,1,
item_fire_epic_04,fire,2,
item_fire_epic_05,fire,1,
item_fire_legendary_01,fire,2,
item_fire_legendary_02,fire,1,
item_water_common_01,water,1,
item_water_common_02,water,1,
item_water_common_03,water,1,
item_water_common_04,water,1,
item_water_common_05,water,1,
item_water_common_06,water,1,
item_water_common_07,water,1,
item_water_common_08,water,1,
item_water_common_09,water,1,
item_water_common_10,water,1,
item_water_rare_01,water,2,
item_water_rare_02,water,1,
item_water_rare_03,water,1,
item_water_rare_04,water,2,
item_water_rare_05,water,1,
item_water_rare_06,water,1,
item_water_rare_07,water,2,
item_water_rare_08,water,1,
item_water_epic_01,water,2,
item_water_epic_02,water,2,
item_water_epic_03,water,1,
item_water_epic_03,earth,1,
item_water_epic_04,water,2,
item_water_epic_05,water,1,
item_water_legendary_01,water,2,
item_water_legendary_02,water,1,
item_nature_common_01,nature,1,
item_nature_common_02,nature,1,
item_nature_common_03,nature,1,
item_nature_common_04,nature,1,
item_nature_common_05,nature,1,
item_nature_common_06,nature,1,
item_nature_common_07,nature,1,
item_nature_common_08,nature,1,
item_nature_common_09,nature,1,
item_nature_common_10,nature,1,
item_nature_rare_01,nature,2,
item_nature_rare_02,nature,1,
item_nature_rare_03,nature,1,
item_nature_rare_04,nature,2,
item_nature_rare_05,nature,1,
item_nature_rare_06,nature,1,
item_nature_rare_07,nature,2,
item_nature_rare_08,nature,1,
item_nature_epic_01,nature,2,
item_nature_epic_02,nature,2,
item_nature_epic_03,nature,1,
item_nature_epic_03,lightning,1,
item_nature_epic_04,nature,2,
item_nature_epic_05,nature,1,
item_nature_legendary_01,nature,2,
item_nature_legendary_02,nature,1,
item_earth_common_01,earth,1,
item_earth_common_02,earth,1,
item_earth_common_03,earth,1,
item_earth_common_04,earth,1,
item_earth_common_05,earth,1,
item_earth_common_06,earth,1,
item_earth_common_07,earth,1,
item_earth_common_08,earth,1,
item_earth_common_09,earth,1,
item_earth_common_10,earth,1,
item_earth_rare_01,earth,2,
item_earth_rare_02,earth,1,
item_earth_rare_03,earth,1,
item_earth_rare_04,earth,2,
item_earth_rare_05,earth,1,
item_earth_rare_06,earth,1,
item_earth_rare_07,earth,2,
item_earth_rare_08,earth,1,
item_earth_epic_01,earth,2,
item_earth_epic_02,earth,2,
item_earth_epic_03,earth,1,
item_earth_epic_03,water,1,
item_earth_epic_04,earth,2,
item_earth_epic_05,earth,1,
item_earth_legendary_01,earth,2,
item_earth_legendary_02,earth,1,
item_lightning_common_01,lightning,1,
item_lightning_common_02,lightning,1,
item_lightning_common_03,lightning,1,
item_lightning_common_04,lightning,1,
item_lightning_common_05,lightning,1,
item_lightning_common_06,lightning,1,
item_lightning_common_07,lightning,1,
item_lightning_common_08,lightning,1,
item_lightning_common_09,lightning,1,
item_lightning_common_10,lightning,1,
item_lightning_rare_01,lightning,2,
item_lightning_rare_02,lightning,1,
item_lightning_rare_03,lightning,1,
item_lightning_rare_04,lightning,2,
item_lightning_rare_05,lightning,1,
item_lightning_rare_06,lightning,1,
item_lightning_rare_07,lightning,2,
item_lightning_rare_08,lightning,1,
item_lightning_epic_01,lightning,2,
item_lightning_epic_02,lightning,2,
item_lightning_epic_03,lightning,1,
item_lightning_epic_03,nature,1,
item_lightning_epic_04,lightning,2,
item_lightning_epic_05,lightning,1,
item_lightning_legendary_01,lightning,2,
item_lightning_legendary_02,lightning,1,
item_poison_common_01,poison,1,
item_poison_common_02,poison,1,
item_poison_common_03,poison,1,
item_poison_common_04,poison,1,
item_poison_common_05,poison,1,
item_poison_common_06,poison,1,
item_poison_common_07,poison,1,
item_poison_common_08,poison,1,
item_poison_common_09,poison,1,
item_poison_common_10,poison,1,
item_poison_rare_01,poison,2,
item_poison_rare_02,poison,1,
item_poison_rare_03,poison,1,
item_poison_rare_04,poison,2,
item_poison_rare_05,poison,1,
item_poison_rare_06,poison,1,
item_poison_rare_07,poison,2,
item_poison_rare_08,poison,1,
item_poison_epic_01,poison,2,
item_poison_epic_02,poison,2,
item_poison_epic_03,poison,1,
item_poison_epic_03,dark,1,
item_poison_epic_04,poison,2,
item_poison_epic_05,poison,1,
item_poison_legendary_01,poison,2,
